engine,day,s1,s2,s3,r1,r2,r3,r4,r5,r6,r7,r8,r9,rul,prob
e_001,32,1,7000.62,8.40,33,-1,861.90,1064.78,97.24,167.46,476.96,261.38,543.69,113,0
e_001,33,1,1999.84,2.50,67,1,1000.03,1131.32,110.56,543.56,1189.48,127.78,972.43,112,0
e_001,34,1,7000.20,8.41,32,-1,858.47,1064.27,96.68,166.04,505.44,266.88,551.16,111,0
e_001,35,1,2000.84,2.51,68,1,994.78,1124.16,110.16,543.74,1169.92,118.98,974.00,110,0
e_001,36,0,4999.78,6.21,7,-1,757.76,873.95,76.32,129.92,161.16,570.18,206.88,109,0
e_001,37,1,4000.98,7.00,64,-1,979.48,1057.88,106.80,430.52,973.56,236.96,922.28,108,0
e_001,38,1,0.56,0.02,92,1,1082.15,1131.47,119.40,844.68,1602.28,79.00,1256.00,107,0
e_001,39,1,3999.66,7.00,65,-1,982.07,1062.43,106.76,430.68,970.08,238.90,920.44,106,0
e_001,40,0,5001.38,6.20,5,-1,762.16,871.84,75.68,129.94,145.24,572.50,202.10,105,0
e_001,41,1,0.12,0.00,92,1,1083.13,1130.55,119.64,844.82,1582.84,84.14,1249.02,104,0
e_001,42,1,4001.00,7.00,65,-1,978.66,1061.43,106.72,431.10,982.16,238.22,917.19,103,0
e_001,43,0,5001.28,6.21,6,-1,762.76,867.28,76.56,129.30,179.24,571.28,209.99,102,0
e_001,44,1,7001.42,8.42,34,-1,854.58,1062.03,96.48,165.66,505.36,260.22,542.74,101,0
e_001,45,1,8399.80,8.41,31,-1,847.76,1082.90,98.20,62.06,514.52,265.76,512.19,100,0
e_001,46,1,4001.44,7.00,63,-1,979.60,1060.59,106.64,430.02,984.52,242.34,913.87,99,0
e_001,47,1,4000.76,7.00,65,-1,985.71,1057.37,106.16,430.52,969.80,238.48,914.08,98,0
e_001,48,1,7000.68,8.40,32,-1,862.97,1064.78,97.12,166.64,488.80,251.10,542.13,97,0
e_001,49,0,5001.26,6.20,5,-1,752.99,872.27,76.72,129.12,182.92,572.84,201.95,96,0
e_001,50,1,4001.56,7.00,64,-1,985.21,1056.89,107.32,430.52,981.12,236.02,905.92,95,0
e_001,51,1,8399.78,8.40,28,-1,853.61,1080.79,98.28,61.34,496.60,268.42,519.53,94,0
e_001,52,1,4000.20,7.01,63,-1,982.38,1057.21,106.80,429.66,997.12,227.58,916.90,93,0
e_001,53,1,0.48,0.00,94,1,1079.04,1133.67,118.76,844.40,1629.04,84.36,1247.23,92,0
e_001,54,1,8401.08,8.40,30,-1,847.80,1079.39,97.92,61.10,495.04,269.20,513.11,91,0
e_001,55,1,2000.44,2.50,68,1,996.31,1128.17,111.52,544.80,1205.48,119.92,975.51,90,0
e_001,56,0,5000.24,6.22,7,-1,758.01,869.29,75.84,130.14,184.60,571.40,208.46,89,0
e_001,57,1,0.40,0.01,91,1,1088.38,1128.37,119.44,844.80,1601.84,81.26,1252.13,88,0
e_001,58,1,6999.64,8.40,31,-1,864.37,1062.57,96.44,166.40,503.96,259.96,541.15,87,0
e_001,59,1,0.48,0.00,91,1,1082.52,1132.54,119.56,844.80,1612.20,79.14,1249.57,86,0
e_001,60,1,8400.16,8.40,30,-1,847.94,1083.20,98.56,61.04,467.64,277.10,519.91,85,0
e_001,61,1,7000.58,8.40,34,-1,863.15,1061.75,97.64,165.66,551.96,255.58,539.56,84,0
e_001,62,1,8400.42,8.40,29,-1,844.29,1077.19,98.12,60.12,467.48,263.16,512.15,83,0
e_001,63,1,0.04,0.00,91,1,1093.66,1136.36,118.84,843.28,1593.56,81.40,1253.90,82,0
e_001,64,1,1999.66,2.50,69,1,1002.38,1123.92,110.68,543.42,1210.16,129.28,977.26,81,0
e_001,65,1,3999.64,7.00,65,-1,981.73,1050.95,107.20,430.80,986.60,241.88,919.91,80,0
e_001,66,1,7001.54,8.40,32,-1,859.32,1065.97,97.08,166.46,546.44,253.60,546.31,79,0
e_001,67,0,4999.72,6.20,7,-1,762.38,873.21,76.36,130.26,200.80,568.66,204.93,78,0
e_001,68,1,2000.22,2.50,70,1,990.56,1127.56,110.32,544.18,1225.16,129.68,973.22,77,0
e_001,69,1,0.42,0.00,92,1,1089.07,1133.34,119.24,843.34,1615.56,88.52,1247.13,76,0
e_001,70,1,0.26,0.00,92,1,1091.43,1121.92,119.36,842.90,1596.56,82.56,1251.48,75,0
e_001,71,1,8401.46,8.42,30,-1,853.96,1079.22,98.24,62.50,496.72,272.94,524.83,74,0
e_001,72,1,2000.28,2.50,69,1,997.67,1126.46,111.44,543.88,1218.80,120.26,972.23,73,0
e_001,73,1,4001.20,7.01,65,-1,985.57,1054.94,106.92,429.24,985.72,243.10,921.06,72,0
e_001,74,1,8400.56,8.40,30,-1,850.88,1078.05,97.40,61.14,484.60,276.08,512.12,71,0
e_001,75,1,0.42,0.00,91,1,1079.03,1131.74,119.52,843.26,1606.24,90.44,1249.50,70,0
e_001,76,1,7000.28,8.42,33,-1,866.86,1066.40,97.12,166.18,502.72,257.10,546.79,69,0
e_001,77,1,1999.92,2.51,70,1,989.21,1120.63,111.00,543.84,1222.52,123.04,971.90,68,0
e_001,78,0,5000.78,6.20,7,-1,757.88,867.68,76.80,129.46,190.84,572.24,213.83,67,0
e_001,79,1,8401.34,8.40,30,-1,852.34,1076.04,97.92,60.82,498.88,266.34,510.76,66,0
e_001,80,1,7001.40,8.42,34,-1,865.20,1058.75,96.96,167.80,490.88,258.22,544.71,65,0
e_001,81,1,2001.10,2.51,70,1,1000.86,1121.33,111.28,543.34,1218.32,132.06,968.53,64,0
e_001,82,1,4001.28,7.02,64,-1,981.99,1051.47,106.96,429.56,997.48,245.52,921.65,63,0
e_001,83,0,5000.56,6.21,7,-1,759.50,866.98,76.68,129.50,225.00,575.22,202.90,62,0
e_001,84,1,8400.96,8.40,31,-1,849.96,1075.74,98.32,62.08,498.08,275.64,509.52,61,0
e_001,85,1,4000.70,7.00,66,-1,971.37,1050.83,107.88,429.22,995.36,248.36,924.82,60,0
e_001,86,1,4000.72,7.01,64,-1,986.61,1051.11,107.60,431.04,1008.16,249.32,917.35,59,0
e_001,87,1,0.36,0.00,92,1,1096.72,1127.37,120.56,843.62,1605.84,80.78,1248.94,58,0
e_001,88,1,3999.94,7.00,65,-1,973.91,1049.22,106.60,430.40,997.96,246.14,918.87,57,0
e_001,89,1,7000.94,8.40,32,-1,863.96,1064.68,97.36,165.66,555.36,268.22,544.55,56,0
e_001,90,1,4000.74,7.02,66,-1,978.01,1052.23,107.36,429.60,997.68,246.42,914.01,55,0
e_001,91,1,0.50,0.00,93,1,1084.58,1128.65,120.40,843.78,1623.88,80.24,1245.83,54,0
e_001,92,1,8400.90,8.41,31,-1,858.65,1078.34,98.00,60.86,516.48,274.82,511.53,53,0
e_001,93,1,8400.08,8.42,32,-1,855.95,1074.89,98.16,60.78,517.20,269.88,514.99,52,0
e_001,94,1,6999.74,8.41,33,-1,860.61,1063.93,98.00,166.48,492.84,266.34,546.05,51,0
e_001,95,1,0.12,0.00,93,1,1084.17,1117.82,119.56,843.30,1622.92,87.62,1246.98,50,0
e_001,96,1,8399.86,8.40,32,-1,855.23,1077.70,97.88,61.02,515.88,276.36,505.80,49,0
e_001,97,1,8401.10,8.40,32,-1,853.35,1073.92,98.60,61.48,513.84,275.28,509.93,48,0
e_001,98,1,1999.92,2.50,69,1,1005.96,1117.27,111.76,543.10,1231.36,132.10,973.68,47,0
e_001,99,1,7000.44,8.40,34,-1,866.88,1061.39,97.84,165.78,517.64,267.00,549.95,46,0
e_001,100,1,4000.36,7.00,64,-1,987.69,1052.10,106.80,429.52,1014.52,247.42,922.82,45,0
e_001,101,1,3999.78,7.00,65,-1,985.49,1050.49,107.12,429.54,1032.56,243.24,918.97,44,0
e_001,102,0,5001.42,6.21,8,-1,761.62,867.53,77.08,128.24,202.56,582.96,201.36,43,0
e_001,103,1,8400.24,8.40,30,-1,853.80,1077.98,98.64,59.90,510.28,271.82,513.12,42,0
e_001,104,1,1999.74,2.51,69,1,1000.31,1121.90,111.56,542.96,1248.84,133.34,966.15,41,0
e_001,105,0,5001.32,6.21,7,-1,766.14,868.13,76.84,128.66,203.60,578.80,205.09,40,0
e_001,106,1,7001.48,8.42,34,-1,864.43,1056.12,98.36,166.46,522.48,266.02,536.66,39,0
e_001,107,1,1999.98,2.51,72,1,1003.42,1119.50,112.48,542.74,1215.24,129.46,962.63,38,0
e_001,108,1,8401.38,8.40,30,-1,854.24,1077.78,98.64,61.10,500.56,275.38,506.96,37,0
e_001,109,1,4000.80,7.00,66,-1,984.12,1043.54,108.44,430.12,1064.72,245.22,911.09,36,0
e_001,110,1,2001.12,2.50,71,1,1007.71,1121.43,112.52,543.40,1244.04,140.28,978.66,35,0
e_001,111,0,5000.38,6.21,7,-1,768.27,862.03,77.20,129.30,214.96,593.60,204.09,34,0
e_001,112,1,8399.92,8.40,31,-1,854.99,1073.14,98.28,61.58,506.20,273.36,510.74,33,0
e_001,113,0,5001.18,6.22,8,-1,758.38,867.90,77.48,128.22,217.12,573.44,201.88,32,0
e_001,114,1,7001.34,8.41,35,-1,864.49,1054.83,98.40,166.04,547.20,272.86,542.12,31,0
e_001,115,1,7000.14,8.40,35,-1,866.95,1055.14,98.84,166.28,526.68,264.98,541.22,30,0
e_001,116,1,6999.66,8.42,36,-1,864.04,1053.67,98.28,166.58,539.92,263.32,537.42,29,0
e_001,117,1,8400.88,8.40,33,-1,846.96,1072.76,99.36,60.98,523.72,279.72,511.75,28,0
e_001,118,1,7000.44,8.40,35,-1,868.96,1050.74,98.20,166.22,525.00,267.58,534.98,27,0
e_001,119,1,7000.22,8.41,35,-1,870.98,1053.85,98.60,166.10,527.32,268.78,538.86,26,0
e_001,120,1,0.32,0.01,92,1,1097.05,1124.96,120.44,841.80,1651.16,97.70,1244.69,25,0
e_001,121,1,4001.32,7.01,67,1,985.08,1045.92,108.32,429.46,1020.56,244.12,915.98,24,0
e_001,122,1,0.40,0.00,95,1,1095.22,1128.68,120.76,841.70,1645.28,93.76,1239.86,23,0
e_001,123,1,8400.16,8.40,32,-1,863.37,1065.14,99.12,61.30,530.32,278.80,511.97,22,0
e_001,124,1,2000.30,2.50,70,1,1012.63,1116.48,113.68,541.94,1276.08,138.64,965.43,21,0
e_001,125,1,8401.52,8.40,31,-1,855.33,1065.87,99.84,60.34,506.84,275.56,502.58,20,1
e_001,126,1,7001.44,8.41,35,-1,867.71,1045.23,99.64,164.84,545.12,267.30,540.60,19,1
e_001,127,1,1999.92,2.50,70,1,1004.37,1112.79,112.64,541.36,1286.40,136.68,964.52,18,1
e_001,128,1,6999.80,8.41,37,-1,866.42,1048.99,99.64,165.86,540.20,273.36,535.72,17,1
e_001,129,1,2000.64,2.51,70,1,1005.14,1112.93,113.68,541.14,1289.32,138.30,961.11,16,1
e_001,130,1,0.52,0.00,96,1,1091.97,1122.77,122.32,840.90,1683.28,98.70,1233.40,15,1
e_001,131,1,0.20,0.00,95,1,1091.34,1115.94,120.96,839.20,1683.72,90.30,1234.55,14,1
e_001,132,1,2001.40,2.50,72,1,1005.12,1109.80,112.88,541.42,1286.76,142.22,953.24,13,1
e_001,133,1,8400.14,8.40,31,-1,860.40,1059.49,99.96,60.58,527.28,287.44,502.47,12,1
e_001,134,1,4000.52,7.00,66,1,997.15,1040.56,109.16,428.28,1042.20,260.54,900.20,11,1
e_001,135,1,7001.56,8.40,34,-1,870.30,1045.71,99.40,165.46,574.56,273.52,531.77,10,1
e_001,136,1,7001.30,8.40,35,-1,873.23,1046.46,99.52,165.10,565.48,283.00,529.67,9,1
e_001,137,1,8400.34,8.41,33,-1,863.13,1059.52,100.24,60.46,538.88,290.18,493.41,8,1
e_001,138,1,8400.58,8.40,31,-1,862.61,1063.64,100.56,60.02,552.68,286.88,503.43,7,1
e_001,139,1,0.60,0.00,97,1,1103.35,1106.06,121.72,840.34,1714.56,103.96,1232.28,6,1
e_001,140,1,1999.82,2.51,71,1,1012.70,1104.97,114.24,541.86,1296.52,147.62,951.55,5,1
e_001,141,1,8400.72,8.40,32,-1,862.38,1057.79,100.76,60.52,568.20,293.92,498.43,4,1
e_001,142,0,5000.96,6.20,10,-1,770.93,856.32,78.80,127.26,268.52,602.16,193.09,3,1
e_001,143,1,4000.16,7.00,68,1,993.09,1034.44,109.60,428.10,1087.36,259.64,906.21,2,1
e_001,144,1,2000.20,2.50,72,1,1007.03,1097.63,114.76,540.36,1327.32,146.96,954.72,1,1
e_001,145,0,4999.82,6.20,10,-1,773.79,857.58,80.12,127.48,243.00,601.22,189.12,0,1
e_002,1,1,0.52,0.00,92,1,1080.80,1152.82,118.56,846.12,1587.40,73.58,1272.45,246,0
e_002,2,1,2001.20,2.51,68,1,999.27,1143.98,110.56,544.78,1199.40,129.46,987.10,245,0
e_002,3,0,5001.34,6.21,8,-1,765.70,882.54,75.32,129.72,171.16,579.06,221.09,244,0
e_002,4,1,8400.30,8.42,29,-1,848.55,1095.98,96.76,61.66,488.04,262.98,525.95,243,0
e_002,5,0,5001.32,6.22,6,-1,752.82,882.24,75.32,129.46,163.92,571.34,213.07,242,0
e_002,6,1,8400.92,8.42,29,-1,845.31,1094.97,97.24,61.74,480.96,264.86,530.15,241,0
e_002,7,1,0.56,0.00,93,1,1080.69,1154.40,118.92,844.40,1576.72,80.10,1272.87,240,0
e_002,8,1,2000.16,2.50,67,1,994.46,1141.94,110.00,545.36,1205.84,126.28,985.94,239,0
e_002,9,1,4000.74,7.00,64,-1,979.94,1075.26,106.16,431.10,966.60,238.08,930.58,238,0
e_002,10,1,8400.60,8.40,30,-1,853.22,1096.55,97.16,61.88,484.56,266.70,537.60,237,0
e_002,11,1,0.32,0.00,92,1,1078.77,1149.47,118.52,844.98,1551.32,74.88,1265.56,236,0
e_002,12,1,2001.06,2.50,69,1,989.48,1144.43,110.32,544.30,1206.72,123.88,988.68,235,0
e_002,13,1,7000.40,8.40,32,-1,861.42,1076.40,97.12,167.74,475.28,250.78,555.07,234,0
e_002,14,1,0.46,0.00,91,1,1085.56,1148.65,118.36,845.14,1539.92,80.32,1267.38,233,0
e_002,15,0,5000.48,6.20,5,-1,761.21,877.91,75.96,130.26,139.80,573.02,214.76,232,0
e_002,16,1,4001.24,7.01,63,-1,979.72,1072.16,106.32,430.02,1005.68,236.36,941.68,231,0
e_002,17,1,4001.24,7.00,64,-1,972.09,1074.61,105.96,431.20,955.32,236.46,934.53,230,0
e_002,18,1,4000.54,7.00,65,-1,970.10,1071.50,106.12,431.14,977.32,233.24,936.95,229,0
e_002,19,1,8400.88,8.42,30,-1,846.56,1095.27,97.12,62.04,464.60,256.38,521.64,228,0
e_002,20,1,4001.34,7.00,63,-1,976.67,1068.84,106.36,431.64,978.24,232.84,937.91,227,0
e_002,21,0,5000.52,6.21,8,-1,762.94,886.24,76.12,130.62,129.04,574.94,223.23,226,0
e_002,22,1,8400.80,8.41,29,-1,852.48,1091.79,98.04,61.04,460.04,262.66,528.90,225,0
e_002,23,0,5001.48,6.20,7,-1,764.27,888.03,76.28,129.76,165.48,564.78,217.18,224,0
e_002,24,1,2000.32,2.50,68,1,991.01,1146.44,110.60,544.44,1182.84,123.62,991.79,223,0
e_002,25,1,8400.76,8.41,30,-1,848.99,1091.43,97.28,60.88,472.72,261.60,533.66,222,0
e_002,26,1,0.00,0.00,90,1,1080.74,1150.83,118.60,845.12,1557.84,76.24,1267.86,221,0
e_002,27,1,2000.96,2.50,68,1,994.23,1148.43,110.76,544.82,1220.96,118.56,991.38,220,0
e_002,28,0,5001.38,6.20,8,-1,758.21,885.81,76.20,129.28,177.44,572.34,214.48,219,0
e_002,29,1,7000.84,8.41,33,-1,863.32,1078.04,96.56,167.20,501.40,253.04,562.80,218,0
e_002,30,1,7000.62,8.41,32,-1,860.76,1077.51,96.92,166.66,472.28,253.90,562.14,217,0
e_002,31,1,8401.14,8.40,29,-1,845.70,1094.19,97.40,61.60,454.96,262.28,538.31,216,0
e_002,32,0,5000.92,6.22,6,-1,750.20,879.30,76.08,129.92,167.36,575.84,214.94,215,0
e_002,33,1,8400.46,8.40,29,-1,853.04,1096.75,96.84,62.56,502.00,262.68,526.99,214,0
e_002,34,0,4999.70,6.22,6,-1,755.22,884.37,76.12,129.52,171.84,565.98,215.88,213,0
e_002,35,1,4000.90,7.00,64,-1,984.06,1070.70,106.52,431.20,958.56,236.88,932.89,212,0
e_002,36,1,2000.42,2.52,70,1,989.57,1138.99,110.12,545.58,1187.04,115.62,994.20,211,0
e_002,37,1,4000.78,7.00,64,-1,976.69,1074.00,106.36,430.28,961.12,235.44,932.65,210,0
e_002,38,1,8400.26,8.40,29,-1,845.85,1096.78,96.88,61.86,467.64,256.48,529.80,209,0
e_002,39,1,4001.52,7.01,64,-1,981.52,1070.29,106.48,430.76,965.44,240.02,927.56,208,0
e_002,40,1,2000.96,2.50,67,1,990.81,1137.84,109.84,543.94,1183.28,125.30,990.83,207,0
e_002,41,1,4001.34,7.01,64,-1,980.97,1072.40,106.80,430.06,945.80,234.30,927.34,206,0
e_002,42,1,7001.36,8.40,34,-1,861.94,1078.63,96.48,166.52,490.64,256.10,564.82,205,0
e_002,43,0,5001.36,6.20,6,-1,755.07,883.87,76.84,129.66,122.88,572.36,215.89,204,0
e_002,44,1,3999.88,7.00,63,-1,976.99,1070.21,106.16,431.60,958.56,240.76,927.62,203,0
e_002,45,1,2000.30,2.50,68,1,997.29,1143.80,110.72,544.08,1227.72,121.30,997.98,202,0
e_002,46,1,8400.58,8.40,30,-1,847.29,1093.81,96.44,61.96,450.80,259.28,532.62,201,0
e_002,47,1,2001.48,2.52,68,1,998.67,1141.94,110.40,544.72,1200.84,122.10,986.78,200,0
e_002,48,1,3999.94,7.00,63,-1,989.99,1078.78,106.24,431.84,980.96,236.64,940.09,199,0
e_002,49,1,0.56,0.01,91,1,1086.21,1153.85,118.76,844.56,1585.16,86.72,1268.73,198,0
e_002,50,0,5001.38,6.21,8,-1,760.10,883.81,75.92,129.84,189.60,574.84,221.72,197,0
e_002,51,1,4001.50,7.00,64,-1,981.72,1071.67,106.52,431.26,996.40,237.26,930.62,196,0
e_002,52,1,0.16,0.00,90,1,1082.77,1150.20,119.24,843.52,1590.84,67.14,1268.57,195,0
e_002,53,1,4001.44,7.00,63,-1,974.44,1078.10,106.44,431.52,995.08,241.04,935.17,194,0
e_002,54,1,6999.76,8.40,32,-1,853.00,1075.50,96.04,166.72,485.96,257.42,568.10,193,0
e_002,55,1,8400.14,8.40,31,-1,843.84,1091.78,97.20,62.28,473.72,269.16,534.78,192,0
e_002,56,1,4001.36,7.01,65,-1,979.92,1069.80,106.52,429.76,985.68,239.42,929.84,191,0
e_002,57,1,7000.30,8.40,33,-1,863.03,1083.68,96.64,166.40,477.72,253.20,556.69,190,0
e_002,58,1,7000.30,8.40,33,-1,867.07,1079.31,96.64,166.54,494.12,259.70,557.16,189,0
e_002,59,1,2000.92,2.52,69,1,995.52,1145.16,110.48,544.46,1231.64,122.28,994.40,188,0
e_002,60,1,8399.66,8.40,28,-1,849.42,1094.68,97.28,61.54,485.20,261.06,526.46,187,0
e_002,61,1,2000.04,2.51,67,1,1000.58,1144.03,111.20,544.80,1186.60,123.06,992.21,186,0
e_002,62,1,0.46,0.00,91,1,1086.55,1150.42,118.28,844.52,1602.56,84.94,1268.09,185,0
e_002,63,1,8401.08,8.40,30,-1,844.32,1094.84,96.72,63.12,502.96,260.02,530.92,184,0
e_002,64,1,8401.52,8.40,30,-1,852.65,1096.50,98.04,61.28,472.72,258.12,528.29,183,0
e_002,65,1,8400.32,8.40,29,-1,850.02,1095.85,97.12,61.96,465.80,265.20,538.44,182,0
e_002,66,1,7000.16,8.42,34,-1,862.50,1076.24,96.48,165.12,467.92,254.24,560.59,181,0
e_002,67,1,8400.40,8.41,29,-1,852.66,1089.98,97.36,62.48,482.40,267.72,529.51,180,0
e_002,68,1,6999.70,8.40,33,-1,865.99,1075.60,96.76,166.20,522.96,257.34,553.82,179,0
e_002,69,1,8400.28,8.41,30,-1,847.34,1095.10,97.08,61.92,482.40,258.52,532.79,178,0
e_002,70,1,1999.78,2.50,68,1,1001.29,1142.87,110.84,543.94,1191.64,129.72,990.28,177,0
e_002,71,1,2001.60,2.51,69,1,999.23,1143.06,110.56,544.98,1220.52,120.24,989.39,176,0
e_002,72,1,4000.46,7.00,64,-1,985.85,1069.93,106.44,431.64,953.56,241.34,934.37,175,0
e_002,73,1,7001.50,8.42,34,-1,859.94,1084.65,96.76,166.64,503.64,259.26,553.90,174,0
e_002,74,1,2001.44,2.50,68,1,996.69,1140.31,111.16,543.86,1235.64,118.38,994.51,173,0
e_002,75,1,0.18,0.02,91,1,1082.62,1157.57,118.76,844.80,1597.40,82.86,1266.65,172,0
e_002,76,0,4999.82,6.20,4,-1,756.08,885.86,76.16,129.46,179.20,577.02,219.89,171,0
e_002,77,1,8400.80,8.40,32,-1,843.78,1090.19,97.96,61.76,490.64,269.88,527.83,170,0
e_002,78,1,4000.06,7.01,63,-1,979.27,1075.14,106.24,429.74,1003.48,240.02,934.31,169,0
e_002,79,1,4000.60,7.01,65,-1,981.06,1071.11,106.28,431.14,975.92,235.20,928.24,168,0
e_002,80,1,2000.24,2.51,68,1,1001.25,1143.18,110.36,543.52,1208.84,130.42,991.37,167,0
e_002,81,0,4999.90,6.20,5,-1,762.34,881.98,76.36,128.54,154.60,571.92,219.83,166,0
e_002,82,1,2001.48,2.50,68,1,1000.95,1139.25,110.44,543.54,1200.80,132.16,988.98,165,0
e_002,83,1,2000.96,2.50,68,1,1006.85,1141.77,111.12,544.90,1198.16,119.20,985.98,164,0
e_002,84,1,6999.76,8.40,34,-1,858.11,1080.91,96.88,167.02,505.08,259.26,565.86,163,0
e_002,85,1,6999.84,8.40,33,-1,863.50,1076.56,96.64,166.68,522.16,250.78,551.44,162,0
e_002,86,1,6999.62,8.40,33,-1,867.22,1076.87,97.00,165.86,473.04,257.12,551.10,161,0
e_002,87,1,7000.46,8.42,32,-1,860.45,1079.69,97.12,166.74,497.80,256.92,556.26,160,0
e_002,88,1,4001.46,7.00,63,-1,978.21,1074.49,106.68,431.22,961.44,238.78,940.49,159,0
e_002,89,1,8400.70,8.41,30,-1,846.82,1094.97,97.04,61.14,473.16,273.02,530.14,158,0
e_002,90,1,8401.48,8.42,31,-1,845.73,1097.64,97.40,62.02,465.92,266.10,531.92,157,0
e_002,91,0,5000.94,6.20,6,-1,760.61,880.20,76.32,129.38,181.84,574.68,223.38,156,0
e_002,92,0,4999.92,6.20,5,-1,759.27,880.37,76.04,130.10,191.12,570.04,216.18,155,0
e_002,93,1,0.48,0.01,92,1,1086.41,1148.61,118.96,844.50,1588.84,76.78,1269.44,154,0
e_002,94,1,8401.00,8.40,30,-1,844.97,1093.10,97.48,61.44,485.44,272.16,530.53,153,0
e_002,95,1,7001.32,8.42,35,-1,862.59,1072.20,97.24,165.28,502.88,264.18,558.61,152,0
e_002,96,1,8400.98,8.40,30,-1,843.54,1092.81,96.40,61.38,450.28,270.34,531.62,151,0
e_002,97,1,7001.20,8.40,35,-1,863.50,1078.00,97.44,165.28,496.36,259.62,559.98,150,0
e_002,98,1,0.08,0.00,92,1,1086.74,1147.70,118.96,844.66,1610.32,79.78,1262.46,149,0
e_002,99,1,7001.54,8.40,33,-1,862.49,1078.96,97.20,166.38,487.48,259.56,557.45,148,0
e_002,100,1,8399.68,8.41,29,-1,850.52,1092.94,97.48,61.50,477.20,258.38,536.40,147,0
e_002,101,1,2001.00,2.50,68,1,995.41,1149.17,110.64,543.70,1209.76,127.48,992.59,146,0
e_002,102,1,8401.08,8.40,30,-1,849.25,1089.89,97.80,61.14,493.12,273.82,530.88,145,0
e_002,103,1,0.14,0.00,91,1,1081.68,1155.57,118.56,843.34,1582.08,83.00,1257.14,144,0
e_002,104,0,5000.26,6.21,6,-1,753.69,883.59,76.52,129.72,144.76,576.96,215.74,143,0
e_002,105,0,5001.20,6.22,7,-1,758.29,887.23,76.28,130.74,182.04,573.56,227.95,142,0
e_002,106,1,8400.76,8.42,31,-1,853.02,1094.55,97.96,60.46,489.56,269.98,535.15,141,0
e_002,107,1,8399.72,8.40,30,-1,843.54,1095.99,97.28,61.34,450.40,269.78,532.73,140,0
